Title,Primary Authors,Publication Date,Subject Area,Core Principles or Models,Methodologies Used,Key Findings or Conclusions,Source
The second law of infodynamics and its implications for the simulated universe hypothesis,"Melvin M. Vopson, S. Lepadatu",2022-07-11,Information Dynamics,Second Law of Infodynamics; M-E-I Equivalence Principle; Shannon Information Theory,Micromagnetic Monte Carlo simulation; SARS-CoV-2 RNA sequence analysis; Information entropy calculation ( $GENIES$  software),Information entropy in physical systems containing information states remains constant or decreases over time. This supports the simulated universe hypothesis as a built-in data compression mechanism.,1-4
"COMPASSION, VARIETY AND COHESION FOR METHODS OF TEXT ANALYTICS, WRITING, SEARCH, USER INTERFACES",Lawrence Au,2015-12-15,Information Dynamics,"Homeostatic metrics (Compassion, Variety, Cohesion); Musical rhythmic analysis; Polysemy Disambiguation",Computer-implemented system; Rhythmic/tonal analysis; Poetic and metaphoric resonance; Syntactic sentiment parsing; Trigram bridge relevance filtering,Text analytics based on rhythmic patterns is more efficient for sentiment detection than traditional logic. Tracking compassion/tension resolution improves search engine indices and reduces resource consumption.,"5, 6"
Challenging Cognitive Load Theory: The Role of Educational Neuroscience and Artificial Intelligence in Redefining Learning Efficacy,"Evgenia Gkintoni, Hera Antonopoulou, Andrew Sortwell, Constantinos Halkiopoulos",2025-02-15,Educational Neuroscience and AI,"Cognitive Load Theory (CLT); Educational Neuroscience (EdNeuro); Machine Learning (CNN, RNN, SVM)",Systematic review ( $n = 103$ ); PRISMA guidelines; Risk of Bias assessment (RoB 2 and Newcastle–Ottawa Scale),"AI and ML improve learning efficacy by managing cognitive load and providing personalized instruction based on real-time neurophysiological data (EEG, fNIRS).",7
The Second Law of Infodynamics: A Thermocontextual Reformulation,Harrison Crecraft,2024-12-30,Information Dynamics / Thermodynamics,Thermocontextual Interpretation (TCI); Second Law of Infodynamics; Minimum Accessibility Principle,"Theoretical reformulation; Partitioning energy into exergy, entropic energy, and accessibility; Bayesian statistical modeling",The Second Law of Infodynamics describes an agent's tendency to reduce the information gap ( $D_{KL}$  divergence) to increase access to exergy.,8
Understanding dual process cognition via the minimum description length principle,"Ted Moskovitz, Kevin J Miller, Maneesh Sahani, Matthew M Botvinick",2024-10-18,Computational Neuroscience,Minimum Description Length Principle (MDL); Kolmogorov Complexity; Dual-Process Theory,Minimum Description Length Control (MDL-C); Recurrent Neural Networks with Variational Dropout (VDO); Simulation of Stroop and Two-Step tasks,"Dual-process structure enhances adaptive behavior by allowing agents to minimize the description length of their behavior, providing a unified normative explanation for executive control.",9
Information and Knowledge Diffusion Dynamics in Complex Networks with Independent Spreaders,"Yan Zhuang, Weihua Li, Yang Liu",2025-02-24,Information Dynamics,SEIR Contagion Model with Independent Spreaders,Mathematical derivation of critical epidemic thresholds; Simulations on Small World and Scale-Free networks,"Independent spreaders facilitate more extensive information diffusion than link contagion alone, particularly in remote or poorly connected network areas.",10
Dynamic optimisation based fuzzy association rule mining method,"Hui Zheng, He Jing, Guangyan Huang, Yanchun Zhang, Hua Wang",2019-03-20,Information Dynamics,Dynamic Optimisation Based Fuzzy Association Rule Mining (DOFARM),Dual compromise scheme; Smoothly separated partitions; Membership function generation,"Resolves sharp boundary problems in serial data and balances multiple performance metrics (accuracy, efficiency, effectiveness) simultaneously.","3, 11"
System 1 and System 2 Thinking,"Daniel Kahneman, Joshua Loo",2019-07-11,Cognitive Psychology / Behavioral Science,Dual Process Theory (System 1 and System 2),Theoretical summary and metacognition analysis,"Human thinking is divided into System 1 (automatic, fast, intuitive) and System 2 (slow, logical, effortful). Understanding their interplay helps identify and avoid decision biases.","12, 13"
The synthesis and use of the owl's auditory space map,"T T Takahashi, Avinash Bala, M W Spitzer, David R Euston, C H Keller",2003-12,Neurobiology / Biological Cybernetics,Jeffress Model; Topographic map of auditory space,Pupillary dilation response (PDR); Binaural analysis of ITD and ILD; Neural cross-correlation; HRTF measurements,Spatial discrimination is explained by changes in the position of the neural image on the auditory space map. Owls determine sound azimuth and elevation via parallel brainstem pathways.,"4, 14, 15"
Robust Anomaly Detection in Financial Markets Using LSTM Autoencoders and Generative Adversarial Networks,"JiAn Yang, Lili Liu",2025-08-06,Financial Anomaly Detection,Hybrid LSTM-GAN Framework,LSTM Autoencoder; Generative Adversarial Networks (GAN); One-Class SVM; Artificial anomaly injection,The hybrid model outperformed classical baselines in detecting point and collective anomalies across diverse asset types and historical regimes like the Global Financial Crisis.,16
LSTM-Autoencoder for Vibration Anomaly Detection in Vertical Carousel Storage and Retrieval System (VCSRS),"Jae Seok Do, Akeem Bayo Kareem, Jang-Wook Hur",2023-01-15,Financial Anomaly Detection (Inferred),LSTM-autoencoder; Fisher information matrix (FIM); Effective independence (EFI),Correlation coefficient model; Fast Fourier Transform (FFT); Power Spectral Density (PSD); LSTM-autoencoder training,The combination of the correlation coefficient model and the LSTM-autoencoder achieved an accuracy rate of 97.70% for detecting system anomalies.,17
Anomaly Detection in Kuwait Construction Market Data Using Autoencoder Neural Networks,B.A.-S. and G.A.,2024-07-23,Financial Anomaly Detection,Autoencoder Neural Networks,Deep learning utilizing an autoencoder architecture trained on historical transaction volumes with Adam optimizer and MSE loss,"The model successfully detected significant anomalies in land and house transaction volumes, pinpointing spikes correlating with specific market activities.",18
THE MATHEMATICS OF DIFFUSION,J. Crank,1975,Mathematical Physics,Fick's laws of diffusion; solutions for isotropic and anisotropic media,Mathematical derivation; Separation of variables; Laplace transform; Numerical finite-difference methods,Provides a comprehensive collection of mathematical solutions for diffusion processes under various initial and boundary conditions.,19
